region,packages_total_2018,packages_total_russian_2018,packages_total_foreign_2018,packages_total_foreign_citizens_2018,packages_total_2019,packages_total_russian_2019,packages_total_foreign_2019,packages_total_foreign_citizens_2019,packages_total_2020,packages_total_russian_2020,packages_total_foreign_2020,packages_total_foreign_citizens_2020,packages_total_2021,packages_total_russian_2021,packages_total_foreign_2021,packages_total_foreign_citizens_2021,packages_total_2022,packages_total_russian_2022,packages_total_foreign_2022,packages_total_foreign_citizens_2022,packages_total_2023,packages_total_russian_2023,packages_total_foreign_2023,packages_total_foreign_citizens_2023
Томская область,25874,4116,21735,23,20966,2228,18738,,14881,3355,11526,,21758,7987,13771,,21342,6782,14560,,23582,6215,17366,1
Республика Бурятия,11872,1680,5819,4373,19254,5274,5495,8485,4211,2668,1348,195,5113,2695,2394,24,5818,3754,2049,15,5992,3084,2815,93
Забайкальский край,147269,5949,140439,881,99626,834,92470,6322,5736,947,4789,,1905,430,1475,,3847,2526,1321,,9444,643,8647,154
Республика Саха (Якутия),15890,9496,5895,499,17107,9244,7474,389,6348,4545,1763,40,16277,12194,4063,20,12998,6302,6674,22,15015,7112,7902,1
Камчатский край,13494,5212,6692,1590,12817,4902,6190,1725,6167,4084,2037,46,8655,7090,1444,121,11894,10215,1675,4,13095,10729,2335,31
Приморский край,125105,4145,38381,82579,127859,2689,52262,72908,14743,2792,8820,3131,10444,6367,4073,4,14874,8785,6088,1,49919,12800,35782,1337
Хабаровский край,42175,5810,32492,3873,45944,6522,34411,5011,27310,21621,5482,207,25798,19201,6558,39,24234,16558,7625,51,27354,12460,14894,
Амурская область,55028,1505,19161,34362,44717,1762,16686,26269,4228,1501,2683,44,4688,2320,2368,,6966,2972,3994,,16607,2963,12771,873
Магаданская область,2832,275,2555,2,3103,263,2820,20,646,207,439,,,,714,,1007,162,845,,900,157,742,1
Сахалинская область,8455,663,6641,1151,15464,846,11203,3415,3411,1844,1518,49,4061,2334,1709,18,5522,3883,1634,5,9386,6773,2607,6
Еврейская автономная область,,,,636,,,,,,,,,836,412,424,,,,276,,,,439,
Чукотский автономный округ,,,,,,,,,,,,,,,,,,,,,,,,
